Nombre,Coleccion,Fecha,Condicion,URL,result_image_side1,result_image_side2,Color,avg_pixel_value_side1,avg_pixel_value_side2
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1283824701/1283824701.jpg,"[[[ 19  31  88]
  [ 16  18  75]
  [ 21  26  84]
  ...
  [ 15  14  45]
  [ 21  20  52]
  [ 27  30  62]]

 [[ 16  22  70]
  [ 22  21  81]
  [ 15  15  75]
  ...
  [ 16  16  40]
  [ 18  18  46]
  [ 21  21  51]]

 [[ 20  23  66]
  [ 24  20  80]
  [ 21  22  78]
  ...
  [ 13  18  30]
  [ 13  15  40]
  [ 20  20  53]]

 ...

 [[ 25  34  92]
  [ 22  25  90]
  [ 35  35 109]
  ...
  [ 28  26  27]
  [ 50  53  39]
  [ 15  24  58]]

 [[ 19  24  80]
  [ 15  16  80]
  [ 28  37 115]
  ...
  [ 27  25  28]
  [ 13  21  47]
  [ 18  22  61]]

 [[ 29  28  86]
  [ 24  25  81]
  [ 26  29 108]
  ...
  [ 42  43  42]
  [ 19  20  64]
  [ 28  32  70]]]","[[[ 35  46 124]
  [ 34  45 124]
  [ 17  24  95]
  ...
  [ 28  32  69]
  [ 25  28  69]
  [ 54  68 112]]

 [[ 38  46 117]
  [ 41  49 123]
  [ 27  34 103]
  ...
  [ 16  17  48]
  [ 17  24  54]
  [ 29  36  78]]

 [[ 33  39 114]
  [ 31  35 108]
  [ 38  46 119]
  ...
  [ 17  21  48]
  [ 10  17  45]
  [ 32  40  76]]

 ...

 [[ 42  48 128]
  [ 40  46 128]
  [ 53  65 139]
  ...
  [ 34  30  31]
  [ 26  25  45]
  [ 33  41  90]]

 [[ 47  58 134]
  [ 46  63 149]
  [ 46  59 134]
  ...
  [ 29  31  42]
  [ 34  38  76]
  [ 40  46  98]]

 [[ 46  56 131]
  [ 38  50 136]
  [ 55  59 147]
  ...
  [ 20  24  60]
  [ 35  42  89]
  [ 43  50 105]]]",4,106.82176666666666,108.71171111111111
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1428759976/1428759976.jpg,"[[[28 33 36]
  [34 39 42]
  [24 29 32]
  ...
  [55 60 63]
  [39 44 47]
  [37 42 45]]

 [[33 38 41]
  [51 56 59]
  [43 48 51]
  ...
  [26 30 33]
  [36 40 43]
  [20 25 28]]

 [[72 77 80]
  [38 43 46]
  [53 58 61]
  ...
  [64 68 71]
  [24 28 31]
  [33 37 40]]

 ...

 [[38 41 46]
  [56 59 64]
  [46 49 54]
  ...
  [55 57 56]
  [57 59 58]
  [68 70 69]]

 [[39 42 47]
  [33 36 41]
  [26 29 34]
  ...
  [55 57 56]
  [51 53 52]
  [66 67 68]]

 [[50 53 58]
  [22 25 30]
  [48 51 56]
  ...
  [57 59 58]
  [88 89 91]
  [18 19 21]]]","[[[ 34  36  35]
  [ 89  91  90]
  [ 45  47  46]
  ...
  [ 44  44  42]
  [ 40  40  38]
  [ 67  67  65]]

 [[ 75  77  76]
  [ 95  97  96]
  [ 57  59  58]
  ...
  [ 43  43  41]
  [ 44  44  42]
  [ 44  44  42]]

 [[102 104 103]
  [ 71  73  72]
  [ 79  81  80]
  ...
  [ 35  35  33]
  [ 23  23  21]
  [ 33  33  31]]

 ...

 [[ 66  67  68]
  [ 90  91  92]
  [244 245 235]
  ...
  [ 50  51  45]
  [ 70  71  65]
  [  6   7   2]]

 [[ 53  54  54]
  [ 61  62  62]
  [130 132 127]
  ...
  [ 39  40  32]
  [ 68  69  63]
  [ 31  30  28]]

 [[ 67  69  68]
  [ 59  61  60]
  [ 65  67  64]
  ...
  [146 147 140]
  [  9  10   7]
  [ 29  28  26]]]",4,151.22733888888888,135.01804444444446
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1428758376/1428758376.jpg,"[[[85 90 93]
  [42 47 50]
  [61 66 69]
  ...
  [38 43 46]
  [29 35 35]
  [40 46 44]]

 [[39 44 47]
  [60 65 68]
  [42 47 50]
  ...
  [45 50 53]
  [46 52 52]
  [46 52 51]]

 [[48 53 56]
  [75 81 81]
  [40 46 46]
  ...
  [47 53 52]
  [43 49 48]
  [20 26 26]]

 ...

 [[46 50 53]
  [29 33 36]
  [34 38 41]
  ...
  [50 52 51]
  [75 77 76]
  [15 19 18]]

 [[45 49 52]
  [17 21 24]
  [84 88 91]
  ...
  [60 62 58]
  [41 43 42]
  [24 25 27]]

 [[28 32 35]
  [22 26 29]
  [23 27 30]
  ...
  [28 30 29]
  [19 20 22]
  [23 24 26]]]","[[[ 68  70  67]
  [ 82  84  81]
  [ 80  82  79]
  ...
  [ 34  34  32]
  [ 60  60  58]
  [ 79  79  77]]

 [[ 69  71  68]
  [ 58  60  57]
  [ 79  81  78]
  ...
  [ 55  55  53]
  [ 50  50  48]
  [ 47  47  45]]

 [[ 58  60  57]
  [ 83  85  82]
  [ 74  76  73]
  ...
  [ 70  70  68]
  [ 34  34  32]
  [ 53  53  51]]

 ...

 [[ 90  92  91]
  [ 41  43  42]
  [100 102 101]
  ...
  [ 65  67  55]
  [147 148 141]
  [ 37  37  35]]

 [[ 52  54  53]
  [ 56  58  57]
  [ 41  43  42]
  ...
  [166 168 156]
  [ 33  34  31]
  [ 41  41  43]]

 [[ 73  75  74]
  [ 74  76  75]
  [ 41  43  42]
  ...
  [ 30  31  28]
  [ 70  70  71]
  [ 43  44  40]]]",4,150.07795555555555,138.8322777777778
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1460252632/1460252632.jpg,"[[[192 174 154]
  [210 192 172]
  [206 188 168]
  ...
  [194 165 133]
  [179 150 118]
  [217 188 156]]

 [[195 173 150]
  [202 180 157]
  [201 183 163]
  ...
  [196 167 135]
  [215 186 154]
  [203 174 142]]

 [[197 175 152]
  [210 188 165]
  [198 179 158]
  ...
  [177 163 145]
  [191 164 132]
  [103  74  42]]

 ...

 [[147 129 106]
  [ 23  14  10]
  [ 15  11  12]
  ...
  [ 14   9   7]
  [ 63  48  38]
  [ 80  55  34]]

 [[189 158 127]
  [145 119 105]
  [ 27  15  16]
  ...
  [ 71  48  33]
  [ 78  52  29]
  [112  87  56]]

 [[193 164 122]
  [174 150 122]
  [108  96  85]
  ...
  [ 89  66  48]
  [118  92  69]
  [140 115  84]]]","[[[218 212 180]
  [211 205 173]
  [207 200 169]
  ...
  [224 197 157]
  [219 196 154]
  [193 170 128]]

 [[211 205 175]
  [206 200 170]
  [237 231 201]
  ...
  [217 196 156]
  [205 184 141]
  [205 177 130]]

 [[207 200 172]
  [240 233 205]
  [216 210 183]
  ...
  [201 179 138]
  [204 181 142]
  [187 163 118]]

 ...

 [[213 185 145]
  [200 184 155]
  [ 15  10   8]
  ...
  [100  77  46]
  [169 141 104]
  [168 135  94]]

 [[208 181 134]
  [220 196 160]
  [128 115  98]
  ...
  [150 119  80]
  [171 139 100]
  [171 139 100]]

 [[196 169 122]
  [217 188 149]
  [231 211 166]
  ...
  [169 139  99]
  [179 147 108]
  [214 182 143]]]",4,132.7987777777778,104.69873888888888
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1206604957/1206604957.jpg,"[[[182 166 140]
  [184 169 141]
  [181 165 137]
  ...
  [133 187 178]
  [134 186 179]
  [136 187 180]]

 [[177 161 135]
  [175 159 133]
  [177 157 130]
  ...
  [129 185 174]
  [129 182 172]
  [132 185 175]]

 [[177 162 134]
  [177 161 129]
  [174 156 126]
  ...
  [128 186 174]
  [125 183 169]
  [128 185 172]]

 ...

 [[224 218 208]
  [119 102  84]
  [116 108 105]
  ...
  [ 43  45  55]
  [ 36  58  53]
  [ 85 148 122]]

 [[224 219 207]
  [133 115  96]
  [118 109 103]
  ...
  [ 37  49  50]
  [ 64 113  92]
  [ 67 149 110]]

 [[225 219 208]
  [139 124 105]
  [128 107  92]
  ...
  [ 58 103  84]
  [ 68 145 108]
  [ 62 151 105]]]","[[[237 233 222]
  [237 233 222]
  [237 233 222]
  ...
  [223 217 203]
  [224 218 206]
  [224 217 206]]

 [[237 233 222]
  [237 233 224]
  [236 232 223]
  ...
  [209 204 193]
  [219 213 201]
  [223 217 205]]

 [[236 234 222]
  [236 233 224]
  [235 233 221]
  ...
  [ 97  93  84]
  [185 181 170]
  [220 214 202]]

 ...

 [[ 64  99  57]
  [ 62  79  54]
  [ 37  38  28]
  ...
  [ 28  21  19]
  [ 32  26  22]
  [ 42  35  29]]

 [[ 63 101  56]
  [ 63  89  57]
  [ 53  63  43]
  ...
  [ 34  27  21]
  [ 43  36  28]
  [ 89  82  74]]

 [[ 62 108  54]
  [ 65 104  58]
  [ 65  90  55]
  ...
  [ 50  43  32]
  [106 100  88]
  [178 172 160]]]",4,120.7388888888889,86.88831666666667
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1384962745/1384962745.jpg,"[[[142  89  77]
  [127  71  64]
  [130  74  67]
  ...
  [200 158 124]
  [246 203 169]
  [237 192 159]]

 [[127  73  61]
  [132  75  68]
  [151  94  87]
  ...
  [237 197 163]
  [242 202 167]
  [240 203 167]]

 [[143  86  75]
  [123  69  59]
  [150  96  86]
  ...
  [245 213 186]
  [210 175 142]
  [236 200 166]]

 ...

 [[133 111 112]
  [120 101 101]
  [ 82  65  65]
  ...
  [ 22  23  28]
  [115 118 123]
  [220 230 231]]

 [[122 100 102]
  [152 132 133]
  [104  83  85]
  ...
  [114 117 122]
  [159 164 170]
  [217 229 227]]

 [[143 121 123]
  [129 109 110]
  [148 127 129]
  ...
  [198 207 208]
  [217 227 228]
  [193 208 203]]]","[[[205 149 152]
  [217 161 164]
  [201 145 148]
  ...
  [244 221 217]
  [245 220 215]
  [242 217 210]]

 [[218 162 165]
  [192 136 140]
  [218 161 167]
  ...
  [241 216 211]
  [232 207 201]
  [247 222 215]]

 [[218 161 165]
  [226 169 175]
  [211 154 160]
  ...
  [229 202 198]
  [240 215 209]
  [218 193 186]]

 ...

 [[188 152 142]
  [147 119 112]
  [100  85  81]
  ...
  [ 19  18  16]
  [ 16  16  17]
  [ 20  26  26]]

 [[140 106  97]
  [191 163 156]
  [109  90  85]
  ...
  [ 18  19  18]
  [ 22  25  27]
  [119 128 127]]

 [[124  94  87]
  [148 122 117]
  [132 110 106]
  ...
  [ 26  30  34]
  [134 142 144]
  [204 215 211]]]",4,126.36477777777777,96.99395555555556
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1226989590/1226989590.jpg,"[[[154  83 123]
  [125  59  95]
  [144  72 110]
  ...
  [207 140 158]
  [233 186 195]
  [228 182 186]]

 [[118  40  76]
  [188 118 155]
  [190 120 156]
  ...
  [199 110 138]
  [214 151 169]
  [201 164 159]]

 [[180 109 146]
  [123  51  86]
  [109  48  74]
  ...
  [193 109 142]
  [184 129 142]
  [231 199 189]]

 ...

 [[  7  11  54]
  [  7  14  29]
  [  5  10  16]
  ...
  [ 14  15  19]
  [ 13  14  18]
  [ 15  16  18]]

 [[ 21  27  63]
  [ 17  23  48]
  [  6  10  21]
  ...
  [ 13  14  18]
  [ 13  14  18]
  [ 17  18  23]]

 [[ 12  17  57]
  [ 10  16  52]
  [  4  11  27]
  ...
  [ 13  14  18]
  [ 15  15  22]
  [ 15  14  28]]]","[[[147  42  92]
  [194 111 154]
  [177 105 150]
  ...
  [250 217 228]
  [249 215 229]
  [239 207 220]]

 [[197 108 161]
  [160  91 134]
  [185 114 160]
  ...
  [251 218 229]
  [223 191 202]
  [251 221 231]]

 [[163  85 136]
  [166  95 140]
  [176 105 149]
  ...
  [244 213 224]
  [247 215 228]
  [238 211 220]]

 ...

 [[ 10  19  84]
  [  6  16  78]
  [ 15  25  75]
  ...
  [ 21  24  29]
  [ 22  25  30]
  [ 20  23  28]]

 [[ 13  21  83]
  [  7  15  77]
  [ 11  20  78]
  ...
  [ 19  22  27]
  [ 19  22  27]
  [ 21  25  28]]

 [[ 10  19  78]
  [ 11  19  81]
  [ 15  24  83]
  ...
  [ 20  23  28]
  [ 18  21  26]
  [ 20  24  30]]]",4,136.25366666666667,114.29885
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1450354084/1450354084.jpg,"[[[ 38  43  42]
  [ 51  56  58]
  [ 31  36  38]
  ...
  [ 35  40  43]
  [ 39  46  48]
  [ 30  35  36]]

 [[ 35  42  47]
  [ 32  36  41]
  [ 42  40  41]
  ...
  [ 33  40  46]
  [ 32  41  43]
  [ 33  39  42]]

 [[ 32  31  38]
  [ 38  39  41]
  [ 51  52  59]
  ...
  [ 21  21  30]
  [ 37  45  49]
  [ 31  36  39]]

 ...

 [[ 31  39  40]
  [ 35  43  47]
  [ 22  32  33]
  ...
  [ 10  10   8]
  [105 107  94]
  [ 20  21  24]]

 [[ 33  43  44]
  [ 23  29  29]
  [ 35  39  38]
  ...
  [ 19  22  13]
  [ 28  29  32]
  [ 36  40  43]]

 [[ 34  44  47]
  [ 34  38  43]
  [ 34  38  41]
  ...
  [ 31  37  36]
  [ 36  39  43]
  [ 32  37  41]]]","[[[34 37 44]
  [30 35 39]
  [39 42 42]
  ...
  [20 29 32]
  [27 33 38]
  [37 42 49]]

 [[31 40 42]
  [34 38 39]
  [37 42 43]
  ...
  [24 23 29]
  [23 25 32]
  [33 40 43]]

 [[26 31 35]
  [31 39 41]
  [34 36 39]
  ...
  [34 34 37]
  [42 41 45]
  [27 34 36]]

 ...

 [[30 39 44]
  [22 31 33]
  [36 38 36]
  ...
  [ 2  3  3]
  [23 25 22]
  [64 73 74]]

 [[35 44 45]
  [33 42 47]
  [24 37 40]
  ...
  [ 6  7  7]
  [47 60 57]
  [29 36 37]]

 [[34 35 40]
  [24 33 36]
  [30 40 44]
  ...
  [61 74 72]
  [32 35 37]
  [32 39 43]]]",4,104.99392777777778,57.080705555555554
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1430441588/1430441588.jpg,"[[[35 43 44]
  [38 43 47]
  [32 32 38]
  ...
  [34 41 46]
  [34 37 42]
  [23 32 37]]

 [[37 44 48]
  [43 49 55]
  [46 58 59]
  ...
  [18 21 30]
  [43 45 48]
  [22 30 34]]

 [[39 48 50]
  [22 27 37]
  [40 45 53]
  ...
  [30 28 34]
  [20 19 26]
  [23 23 30]]

 ...

 [[29 31 36]
  [ 2  4  4]
  [ 0  0  2]
  ...
  [ 0  0  2]
  [ 0  0  1]
  [ 1  1  5]]

 [[33 42 44]
  [15 27 25]
  [ 0  0  1]
  ...
  [ 3  3  3]
  [ 0  0  0]
  [ 5 14 24]]

 [[25 28 33]
  [28 35 42]
  [ 0  4  6]
  ...
  [ 4  5  9]
  [ 0  1  6]
  [56 64 65]]]","[[[ 31  36  40]
  [ 41  48  54]
  [ 35  43  45]
  ...
  [ 34  37  42]
  [ 31  38  39]
  [ 28  36  39]]

 [[ 31  39  45]
  [ 32  41  45]
  [ 24  31  33]
  ...
  [ 33  38  42]
  [ 34  42  45]
  [ 36  41  44]]

 [[ 22  27  32]
  [ 32  38  42]
  [ 40  49  51]
  ...
  [  9  13  20]
  [ 28  39  46]
  [ 26  31  37]]

 ...

 [[ 31  33  36]
  [  0   1   2]
  [  0   0   1]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 40  35  35]]

 [[ 25  29  32]
  [ 89  92  84]
  [  0   0   0]
  ...
  [  4   2   3]
  [  2   1   2]
  [ 36  50  50]]

 [[ 26  30  41]
  [ 30  35  38]
  [ 50  56  56]
  ...
  [  1   3   3]
  [101 115 119]
  [ 28  35  38]]]",4,91.55832777777778,56.30469444444444
Gaea's Cradle,Urza's Saga,1999,EX,https://marketplace-article-scans-production-current.s3.eu-central-1.amazonaws.com/1430441478/1430441478.jpg,"[[[35 43 44]
  [38 43 47]
  [32 32 38]
  ...
  [34 41 46]
  [34 37 42]
  [23 32 37]]

 [[37 44 48]
  [43 49 55]
  [46 58 59]
  ...
  [18 21 30]
  [43 45 48]
  [22 30 34]]

 [[39 48 50]
  [22 27 37]
  [40 45 53]
  ...
  [30 28 34]
  [20 19 26]
  [23 23 30]]

 ...

 [[29 31 36]
  [ 2  4  4]
  [ 0  0  2]
  ...
  [ 0  0  2]
  [ 0  0  1]
  [ 1  1  5]]

 [[33 42 44]
  [15 27 25]
  [ 0  0  1]
  ...
  [ 3  3  3]
  [ 0  0  0]
  [ 5 14 24]]

 [[25 28 33]
  [28 35 42]
  [ 0  4  6]
  ...
  [ 4  5  9]
  [ 0  1  6]
  [56 64 65]]]","[[[ 31  36  40]
  [ 41  48  54]
  [ 35  43  45]
  ...
  [ 34  37  42]
  [ 31  38  39]
  [ 28  36  39]]

 [[ 31  39  45]
  [ 32  41  45]
  [ 24  31  33]
  ...
  [ 33  38  42]
  [ 34  42  45]
  [ 36  41  44]]

 [[ 22  27  32]
  [ 32  38  42]
  [ 40  49  51]
  ...
  [  9  13  20]
  [ 28  39  46]
  [ 26  31  37]]

 ...

 [[ 31  33  36]
  [  0   1   2]
  [  0   0   1]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 40  35  35]]

 [[ 25  29  32]
  [ 89  92  84]
  [  0   0   0]
  ...
  [  4   2   3]
  [  2   1   2]
  [ 36  50  50]]

 [[ 26  30  41]
  [ 30  35  38]
  [ 50  56  56]
  ...
  [  1   3   3]
  [101 115 119]
  [ 28  35  38]]]",4,91.55832777777778,56.30469444444444
